sku,category,name,price_mxn,stock,brand
GPU-001,GPU,RTX 5060,12296,3,Vertex
GPU-002,GPU,RTX 5060 Ti,21049,28,Pulsar
GPU-003,GPU,RTX 5070,11717,69,NovaTech
GPU-004,GPU,RTX 5070 Ti,43698,54,NovaTech
GPU-005,GPU,RTX 5080,6952,11,Pulsar
GPU-006,GPU,RTX 5090,20247,64,Orion
GPU-007,GPU,RX 9060 XT,6739,71,Pulsar
GPU-008,GPU,RX 9070,40713,53,Pulsar
GPU-009,GPU,RX 9070 XT,34439,75,Vertex
GPU-010,GPU,RX 9080,5425,20,Titan
GPU-011,GPU,Arc B580,27298,35,Pulsar
GPU-012,GPU,Arc B770,19110,43,NovaTech
GPU-013,GPU,RTX 4060,11078,48,NovaTech
GPU-014,GPU,RTX 4070 Super,28526,44,Orion
GPU-015,GPU,RTX 4080 Super,22335,5,Titan
GPU-016,GPU,RX 7800 XT,40142,15,Titan
GPU-017,GPU,RX 7900 GRE,10164,70,Vertex
GPU-018,GPU,RX 7900 XT,28700,73,Pulsar
GPU-019,GPU,RTX 3050,9558,5,Pulsar
GPU-020,GPU,RTX 3060,23965,10,Pulsar
CPU-001,CPU,Ryzen 5 9600X,16696,12,Titan
CPU-002,CPU,Ryzen 7 9700X,7054,58,Vertex
CPU-003,CPU,Ryzen 9 9900X,5164,47,Vertex
CPU-004,CPU,Ryzen 9 9950X,5932,34,NovaTech
CPU-005,CPU,Ryzen 7 7800X3D,12480,21,Orion
CPU-006,CPU,Ryzen 9 7950X3D,14446,31,Pulsar
CPU-007,CPU,Core Ultra 5 245K,10073,48,Vertex
CPU-008,CPU,Core Ultra 7 265K,17661,71,Pulsar
CPU-009,CPU,Core Ultra 9 285K,13716,41,NovaTech
CPU-010,CPU,Core i5-14600K,6252,4,Vertex
CPU-011,CPU,Core i7-14700K,9072,34,NovaTech
CPU-012,CPU,Core i9-14900K,5956,72,Vertex
CPU-013,CPU,Ryzen 5 7600,5983,63,Titan
CPU-014,CPU,Ryzen 7 7700,16994,58,Pulsar
CPU-015,CPU,Ryzen 9 7900,6839,17,Pulsar
CPU-016,CPU,Core i5-14400F,14705,71,Orion
CPU-017,CPU,Core i7-14700,6804,74,Titan
CPU-018,CPU,Core Ultra 5 235,17209,74,Titan
CPU-019,CPU,Ryzen 5 8500G,8430,28,Pulsar
CPU-020,CPU,Ryzen 7 8700G,10848,63,NovaTech
SSD-001,SSD,NVMe Gen4 500GB,1271,14,Pulsar
SSD-002,SSD,NVMe Gen4 1TB,3121,54,Orion
SSD-003,SSD,NVMe Gen4 2TB,1540,49,Titan
SSD-004,SSD,NVMe Gen5 1TB,8168,67,Vertex
SSD-005,SSD,NVMe Gen5 2TB,688,14,Orion
SSD-006,SSD,NVMe Gen5 4TB,4871,43,NovaTech
SSD-007,SSD,SATA SSD 240GB,5308,55,Pulsar
SSD-008,SSD,SATA SSD 480GB,7933,0,Vertex
SSD-009,SSD,SATA SSD 1TB,8701,22,Orion
SSD-010,SSD,SATA SSD 2TB,2243,38,Orion
SSD-011,SSD,Pro NVMe 1TB,3758,19,Vertex
SSD-012,SSD,Pro NVMe 2TB,3146,69,Orion
